N MultMatVet OptimizedMultMatVet MultMatMat OptmizedMultMatMat
64 3164.9171 5177.9461 3412.7538 6044.7412 
100 1034.9709 3804.6220 2065.3069 4250.7484 
128 3055.0487 6740.3749 2500.7116 4764.0221 
200 1026.8195 2523.2530 1653.1520 3962.8626 
256 2650.0011 6592.7942 1697.5674 3606.1973 
512 2377.2484 5911.3603 1129.4957 2639.8056 
600 2411.3783 5583.8301 2431.3619 5394.9402 
900 2409.1164 5276.7299 2468.5764 5462.5584 
1024 2384.5475 5706.4150 977.3463 2553.6387 
2000 2370.1408 5418.8581 1194.1083 4220.4154 
2048 2352.5093 5527.1670 404.2032 1236.4618 
3000 2354.4567 5367.1309 719.8340 3515.4671 
4000 2353.1530 5556.9137 545.7110 3095.0327 
