N MultMatVet OptimizedMultMatVet MultMatMat OptmizedMultMatMat
64 0.135042 0.403951 0.291565 0.235426 
100 0.212242 0.214299 1.195605 0.689344 
128 0.140184 0.125171 1.800820 1.004435 
200 0.322221 0.214758 9.944653 4.282133 
256 0.182097 0.142554 19.900361 9.443639 
512 0.374036 0.228138 237.829371 101.850860 
600 0.452532 0.268809 177.806221 80.212748 
900 0.833613 0.446938 590.800110 267.072886 
1024 1.034602 0.510132 2197.472650 841.137594 
2000 3.548704 1.626052 13399.572252 3791.362477 
2048 3.739232 1.665904 42504.099548 13894.837596 
3000 7.829843 3.500818 75019.142108 15361.210815 
4000 13.781177 5.906580 234561.956173 41357.719223 
